Name,# of Pages,Class Date,Course,Key Sections,Link,Status,Type,Unit
Olson Colby '13,20,08/31/2021,Cog Neuro,,Media%20d108e57abe4d42f490c993fe7a03b515/Olson_Colby-2013.pdf,Past Course,Chapter,Introduction
Born Bradley '05,36,09/02/2021,Cog Neuro,"Introduction (p.158); MT Was a Key Part… (pp. 158
ff.); Functional Organization (pp. 162 ff.); Basic Tuning Properties (pp. 164 ff.); Extraretinal
Effects (p. 176); Perceptual Correlates… (pp. 177 ff.).",Media%20d108e57abe4d42f490c993fe7a03b515/Born20Bradley-2005.pdf,Past Course,Review,Motion Vision
Nawrot '03,21,09/02/2021,Cog Neuro,,Media%20d108e57abe4d42f490c993fe7a03b515/Nawrot-2003.pdf,Past Course,Paper,Motion Vision
Gross '08,12,09/07/2021,Cog Neuro,,Media%20d108e57abe4d42f490c993fe7a03b515/Gross-2008.pdf,Past Course,Paper,Pattern Vision
Kandel Ch. 2,16,08/31/2021,Neural Data Analysis,,Media%20d108e57abe4d42f490c993fe7a03b515/02_kandel_chapt_2.pdf,Past Course,Chapter,Introduction
Ungerleider Bell '11,18,09/07/2021,Cog Neuro,,Media%20d108e57abe4d42f490c993fe7a03b515/Ungerleider_Bell_11.pdf,Past Course,Paper,Pattern Vision
Kandel Ch. 5,15,08/31/2021,Neural Data Analysis,,Media%20d108e57abe4d42f490c993fe7a03b515/02_kandel_chapt_5.pdf,Past Course,Chapter,Introduction
Kandel Ch. 6,16,08/31/2021,Neural Data Analysis,,Media%20d108e57abe4d42f490c993fe7a03b515/02_kandel_chapt_6.pdf,Past Course,Chapter,Introduction
"Ross Chs. 4,5,6",40,09/02/2021,Neural Data Analysis,,Media%20d108e57abe4d42f490c993fe7a03b515/04_05_06_ross.pdf,Past Course,Chapter,Intro to Probability
Moore '06,7,09/09/2021,Cog Neuro,,Media%20d108e57abe4d42f490c993fe7a03b515/Moore_06.pdf,Past Course,Paper,Attention
Egeth '97,29,09/09/2021,Cog Neuro,,Media%20d108e57abe4d42f490c993fe7a03b515/Egeth97.pdf,Past Course,Paper,Attention
Kandel Ch. 1 & Ch. 2,74,01/20/2022,Neural Signal Processing,,,Next Class,Chapter,Introduction
